REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
AGUAS CLARAS,2024,JAN,10
AGUAS CLARAS,2024,FEV,14
AGUAS CLARAS,2024,MAR,14
AGUAS CLARAS,2024,ABR,14
AGUAS CLARAS,2024,MAI,17
AGUAS CLARAS,2024,JUN,22
AGUAS CLARAS,2024,JUL,16
AGUAS CLARAS,2024,AGO,18
AGUAS CLARAS,2024,SET,14
AGUAS CLARAS,2024,OUT,18
AGUAS CLARAS,2024,NOV,16
AGUAS CLARAS,2024,DEZ,14
BRASILIA,2024,JAN,63
BRASILIA,2024,FEV,93
BRASILIA,2024,MAR,78
BRASILIA,2024,ABR,102
BRASILIA,2024,MAI,118
BRASILIA,2024,JUN,79
BRASILIA,2024,JUL,81
BRASILIA,2024,AGO,82
BRASILIA,2024,SET,85
BRASILIA,2024,OUT,73
BRASILIA,2024,NOV,79
BRASILIA,2024,DEZ,58
BRAZLANDIA,2024,JAN,9
BRAZLANDIA,2024,FEV,5
BRAZLANDIA,2024,MAR,5
BRAZLANDIA,2024,ABR,10
BRAZLANDIA,2024,MAI,6
BRAZLANDIA,2024,JUN,3
BRAZLANDIA,2024,JUL,5
BRAZLANDIA,2024,AGO,5
BRAZLANDIA,2024,SET,4
BRAZLANDIA,2024,OUT,3
BRAZLANDIA,2024,NOV,2
BRAZLANDIA,2024,DEZ,4
CANDANGOLANDIA,2024,JAN,1
CANDANGOLANDIA,2024,FEV,4
CANDANGOLANDIA,2024,MAR,0
CANDANGOLANDIA,2024,ABR,3
CANDANGOLANDIA,2024,MAI,2
CANDANGOLANDIA,2024,JUN,4
CANDANGOLANDIA,2024,JUL,1
CANDANGOLANDIA,2024,AGO,4
CANDANGOLANDIA,2024,SET,2
CANDANGOLANDIA,2024,OUT,2
CANDANGOLANDIA,2024,NOV,0
CANDANGOLANDIA,2024,DEZ,2
CEILANDIA,2024,JAN,156
CEILANDIA,2024,FEV,178
CEILANDIA,2024,MAR,196
CEILANDIA,2024,ABR,200
CEILANDIA,2024,MAI,193
CEILANDIA,2024,JUN,193
CEILANDIA,2024,JUL,178
CEILANDIA,2024,AGO,198
CEILANDIA,2024,SET,173
CEILANDIA,2024,OUT,180
CEILANDIA,2024,NOV,187
CEILANDIA,2024,DEZ,153
CRUZEIRO,2024,JAN,4
CRUZEIRO,2024,FEV,4
CRUZEIRO,2024,MAR,2
CRUZEIRO,2024,ABR,1
CRUZEIRO,2024,MAI,2
CRUZEIRO,2024,JUN,2
CRUZEIRO,2024,JUL,0
CRUZEIRO,2024,AGO,2
CRUZEIRO,2024,SET,3
CRUZEIRO,2024,OUT,0
CRUZEIRO,2024,NOV,2
CRUZEIRO,2024,DEZ,1
ESTRUTURAL,2024,JAN,18
ESTRUTURAL,2024,FEV,13
ESTRUTURAL,2024,MAR,20
ESTRUTURAL,2024,ABR,15
ESTRUTURAL,2024,MAI,22
ESTRUTURAL,2024,JUN,14
ESTRUTURAL,2024,JUL,9
ESTRUTURAL,2024,AGO,16
ESTRUTURAL,2024,SET,21
ESTRUTURAL,2024,OUT,18
ESTRUTURAL,2024,NOV,21
ESTRUTURAL,2024,DEZ,8
FERCAL,2024,JAN,1
FERCAL,2024,FEV,1
